date,difficulty,course,score
2026-04-01,練習,高級,10160
2026-04-02,練習,高級,10160
2026-04-03,練習,高級,9780
2026-04-04,練習,高級,9780
2026-04-05,練習,高級,9400
2026-04-06,練習,高級,9400
2026-04-07,練習,高級,9400
2026-04-08,練習,高級,9780
2026-04-09,練習,高級,9400
2026-04-10,練習,高級,9780
2026-04-11,練習,高級,9780
2026-04-12,練習,高級,7640
2026-04-13,練習,高級,9400
2026-04-14,練習,高級,10560
2026-04-15,練習,高級,9780
2026-04-16,練習,高級,9400
2026-04-17,練習,高級,9780
2026-04-18,練習,高級,9780
2026-04-19,練習,高級,10160
2026-04-20,練習,高級,10540
2026-04-21,練習,高級,9020
2026-04-22,練習,高級,10160
2026-04-23,練習,高級,10920
2026-04-24,練習,高級,10540
2026-04-25,練習,高級,10160
2026-04-26,練習,高級,10160
2026-04-27,練習,高級,9280
2026-04-28,練習,高級,8640
2026-04-29,練習,高級,10920
2026-04-30,練習,高級,10540
